path,name_ar,kind,account_manager,vendor,description,description_ar,stage,target_date,target,ADT,Medication Prescribe V1,Medication Prescribe V2,Medication Dispense V1,Medication Dispense V2,Radiology Order,Radiology Report,Lab Order,Lab Results,Clinical Notes
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Almas Community Hospital,,Organization,Abdulaziz Alsaloom,Demo Vendor Gamma,211-bed community hospital serving the northern catchment. On the list for this year; no work has started.,,Not started,,,planned,,,,,,,,,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Nasaem General Hospital,مستشفى نسائم العام,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Reehan Community Hospital,,Organization,,Demo Vendor Beta,120-bed community hospital serving the western catchment. Kickoff held with the vendor; the interface catalogue is being confirmed.,,Kickoff,,,planned,,,,,,planned,planned,planned,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Rabee Maternity Hospital,,Organization,,Demo Vendor Beta,"326-bed maternity hospital serving the coastal catchment. Build under way, held up on the identity feed.",,Integrating & Testing,2027-02-18,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Sanam Maternity Hospital,مستشفى سنام للولادة,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,409-bed maternity hospital serving the southern catchment. Interfaces are being built against the sandbox.,منشأة بسعة 409 سريراً تخدم النطاق الجنوبي. يجري بناء الواجهات على البيئة التجريبية.,Integrating & Testing,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Dorra Maternity Hospital,مستشفى درة للولادة,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,321-bed maternity hospital serving the western catchment. Onboarding agreed and nothing has begun.,منشأة بسعة 321 سريراً تخدم النطاق الغربي. مدرج ضمن خطة هذا العام ولم يبدأ بعد.,Not started,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Salsabeel Community Hospital,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,199-bed community hospital serving the inland catchment. Recorded for completeness while the onboarding order is decided.,,,,,planned,planned,planned,,,,,planned,testing,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Areej Maternity Hospital,مستشفى أريج للولادة,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,532-bed maternity hospital serving the coastal catchment. Scope not agreed yet; the first scoping session is being arranged.,منشأة بسعة 532 سريراً تخدم النطاق الساحلي. لم يُتفق على النطاق بعد.,,,,planned,,,,,,,planned,testing,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Falak Specialist Hospital,مستشفى فلك التخصصي,Organization,,Demo Vendor Alpha,108-bed specialist hospital serving the western catchment. Kickoff held with the vendor; the interface catalogue is being confirmed.,منشأة بسعة 108 سريراً تخدم النطاق الغربي. عُقد اجتماع الانطلاق مع المورد.,Kickoff,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Qamar Maternity Hospital,مستشفى قمر للولادة,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,445-bed maternity hospital serving the northern catchment. Message mapping is in progress; the first end-to-end call has been made.,منشأة بسعة 445 سريراً تخدم النطاق الشمالي. ربط الرسائل قيد التنفيذ.,Integrating & Testing,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Safaa General Hospital,,Organization,Abdulaziz Alsaloom,Demo Vendor Delta,347-bed general hospital serving the northern catchment. Scope not agreed yet; the first scoping session is being arranged.,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Nasim Community Hospital,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,"40-bed community hospital serving the inland catchment. Contracted, with no integration work scheduled. The clinical team has asked for a second training round before the next capability is switched on.",,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics,العيادات,,,,23 clinics in account book one.,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Reeman Dental Clinic,,Organization,Abdulaziz Alsaloom,,,,Kickoff,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Amal Dental Clinic,,Organization,Abdulaziz Alsaloom,Demo Vendor Beta,,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Narjis Clinic,عيادة نرجس,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,10-room clinic serving the southern catchment. Recorded for completeness while the onboarding order is decided.,منشأة بـ 10 غرف تخدم النطاق الجنوبي. لم يُتفق على النطاق بعد.,,,,planned,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Basma Family Clinic,عيادة بسمة للأسرة,Organization,Abdulaziz Alsaloom,Demo Vendor Delta,6-room family clinic serving the southern catchment. Scope not agreed yet; the first scoping session is being arranged.,منشأة بـ 6 غرف تخدم النطاق الجنوبي. تم التعاقد ولم تُجدول أعمال التكامل.,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Ufuq Family Clinic,عيادة أفق للأسرة,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,14-room family clinic serving the eastern catchment. Testing signed off and a go-live window is being booked.,منشأة بـ 14 غرف تخدم النطاق الشرقي. اكتمل الاختبار ويجري حجز موعد الإطلاق.,Go-live readiness,,,testing,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Marjan Family Clinic,عيادة مرجان للأسرة,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,"9-room family clinic serving the coastal catchment. Build under way, held up on the identity feed.",منشأة بـ 9 غرف تخدم النطاق الساحلي. يجري بناء الواجهات على البيئة التجريبية.,Integrating & Testing,,,planned,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Nudar Family Clinic,عيادة نضار للأسرة,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,12-room family clinic serving the western catchment. On the list for this year; no work has started.,منشأة بـ 12 غرف تخدم النطاق الغربي. متفق على التأهيل ولم يبدأ العمل.,Not started,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Aqeeq Dental Clinic,عيادة عقيق للأسنان,Organization,Abdulaziz Alsaloom,Demo Vendor Epsilon,,,Integrating & Testing,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Misk Family Clinic,عيادة مسك للأسرة,Organization,Abdulaziz Alsaloom,,13-room family clinic serving the eastern catchment. On the list for this year; no work has started.,منشأة بـ 13 غرف تخدم النطاق الشرقي. مدرج ضمن خطة هذا العام ولم يبدأ بعد.,Not started,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Ghaf Family Clinic,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,,,Kickoff,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Sadeem Dental Clinic,عيادة سديم للأسنان,Organization,Abdulaziz Alsaloom,Demo Vendor Gamma,,,Kickoff,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Ghaim Family Clinic,,Organization,,Demo Vendor Alpha,3-room family clinic serving the inland catchment. Message mapping is in progress; the first end-to-end call has been made.,,Integrating & Testing,,,testing,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Firuz Family Clinic,عيادة فيروز للأسرة,Organization,Abdulaziz Alsaloom,Demo Vendor Beta,,,Kickoff,,,planned,planned,,,,,,,,testing
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Layali Family Clinic,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,6-room family clinic serving the inland catchment. In integration testing with the vendor.,,UAT,2027-07-12,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Sadaf Dental Clinic,عيادة صدف للأسنان,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,13-room dental clinic serving the southern catchment. Kickoff held with the vendor; the interface catalogue is being confirmed.,منشأة بـ 13 غرف تخدم النطاق الجنوبي. اكتمل اجتماع الانطلاق وحُددت جهات الاتصال الفنية.,Kickoff,,,planned,planned,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Wafa Dental Clinic,,Organization,Abdulaziz Alsaloom,Demo Vendor Epsilon,,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Khuzama Family Clinic,,Organization,Abdulaziz Alsaloom,Demo Vendor Beta,3-room family clinic serving the western catchment. Scope not agreed yet; the first scoping session is being arranged.,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Buraq Dental Clinic,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,"13-room dental clinic serving the northern catchment. Live since the last release window, with support in hypercare.",,Live,,,live,live,live,live,live,live,live,live,live,live
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Yaqoot Dental Clinic,,Organization,Abdulaziz Alsaloom,Demo Vendor Beta,7-room dental clinic serving the eastern catchment. Testing signed off and a go-live window is being booked.,,Go-live readiness,,,live,live,,,,testing,live,,testing,testing
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Anbar Family Clinic,,Organization,Abdulaziz Alsaloom,Demo Vendor Delta,"5-room family clinic serving the coastal catchment. Live since the last release window, with support in hypercare.",,Live,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Yaqeen Dental Clinic,عيادة يقين للأسنان,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,"16-room dental clinic serving the western catchment. Live since the last release window, with support in hypercare.",منشأة بـ 16 غرف تخدم النطاق الغربي. في الإنتاج ويرسل الأحجام اليومية.,Live,,,live,live,live,live,live,live,live,live,live,live
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Sanam Family Clinic,عيادة سنام للأسرة,Organization,Abdulaziz Alsaloom,,4-room family clinic serving the coastal catchment. Scope not agreed yet; the first scoping session is being arranged.,منشأة بـ 4 غرف تخدم النطاق الساحلي. لم يُتفق على النطاق بعد.,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Clinics > Areej Dental Clinic,عيادة أريج للأسنان,Organization,,Demo Vendor Beta,15-room dental clinic serving the western catchment. User acceptance testing is running with the clinical team. The clinical team has asked for a second training round before the next capability is switched on.,منشأة بـ 15 غرف تخدم النطاق الغربي. قيد اختبار التكامل مع المورد.,UAT,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Laboratories,المختبرات,,,,14 laboratories in account book one.,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Laboratories > Sadeem Laboratory,مختبر سديم,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,17-bench laboratory serving the eastern catchment. Recorded for completeness while the onboarding order is decided.,منشأة بـ 17 منصات فحص تخدم النطاق الشرقي. لم يُتفق على النطاق بعد.,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Laboratories > Kadi Diagnostic Laboratory,مختبر كادي للتشخيص,Organization,Abdulaziz Alsaloom,,23-bench diagnostic laboratory serving the inland catchment. Testing is complete on the first two capabilities and continuing on the rest.,منشأة بـ 23 منصات فحص تخدم النطاق الداخلي. قيد اختبار التكامل مع المورد.,UAT,2027-04-15,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Laboratories > Hana Laboratory,مختبر هناء,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,,,,,,,,,,,,,planned,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Laboratories > Arak Laboratory,مختبر أراك,Organization,Abdulaziz Alsaloom,Demo Vendor Beta,7-bench laboratory serving the northern catchment. Message mapping is in progress; the first end-to-end call has been made.,منشأة بـ 7 منصات فحص تخدم النطاق الشمالي. يجري بناء الواجهات على البيئة التجريبية.,Integrating & Testing,,,,planned,,,,,planned,testing,testing,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Laboratories > Duha Laboratory,,Organization,Abdulaziz Alsaloom,,19-bench laboratory serving the southern catchment. Scope not agreed yet; the first scoping session is being arranged.,,,,,,,,,,,,testing,planned,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Laboratories > Talh Diagnostic Laboratory,مختبر طلح للتشخيص,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,,,,,,planned,planned,,,,,,planned,testing,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Laboratories > Tibr Reference Laboratory,,Organization,Abdulaziz Alsaloom,Demo Vendor Gamma,23-bench reference laboratory serving the western catchment. On the list for this year; no work has started.,,Not started,,,planned,planned,,,,,,planned,planned,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Laboratories > Rabee Reference Laboratory,مختبر ربيع المرجعي,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,,,Go-live readiness,,,testing,testing,,,,,,live,live,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Laboratories > Zuhal Reference Laboratory,مختبر زحل المرجعي,Organization,Abdulaziz Alsaloom,Demo Vendor Beta,30-bench reference laboratory serving the southern catchment. Message mapping is in progress; the first end-to-end call has been made. The clinical team has asked for a second training round before the next capability is switched on.,منشأة بـ 30 منصات فحص تخدم النطاق الجنوبي. ربط الرسائل قيد التنفيذ.,Integrating & Testing,,,,,,,,,,testing,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Laboratories > Zaytoon Laboratory,,Organization,Abdulaziz Alsaloom,Demo Vendor Gamma,,,,,,,,,,,planned,testing,planned,planned,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Laboratories > Buraq Diagnostic Laboratory,مختبر براق للتشخيص,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,"21-bench diagnostic laboratory serving the coastal catchment. Contracted, with no integration work scheduled.",منشأة بـ 21 منصات فحص تخدم النطاق الساحلي. تم التعاقد ولم تُجدول أعمال التكامل.,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Laboratories > Samar Diagnostic Laboratory,مختبر سمر للتشخيص,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,26-bench diagnostic laboratory serving the inland catchment. Testing signed off and a go-live window is being booked.,منشأة بـ 26 منصات فحص تخدم النطاق الداخلي. اكتمل الاختبار ويجري حجز موعد الإطلاق.,Go-live readiness,2027-02-10,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Laboratories > Ilham Diagnostic Laboratory,مختبر إلهام للتشخيص,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,19-bench diagnostic laboratory serving the eastern catchment. Message mapping is in progress; the first end-to-end call has been made.,منشأة بـ 19 منصات فحص تخدم النطاق الشرقي. يجري بناء الواجهات على البيئة التجريبية.,Integrating & Testing,,,,,,planned,testing,,,planned,planned,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Laboratories > Diya Laboratory,مختبر ضياء,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,20-bench laboratory serving the eastern catchment. Recorded for completeness while the onboarding order is decided.,منشأة بـ 20 منصات فحص تخدم النطاق الشرقي. لم يُتفق على النطاق بعد.,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Polyclinics,المجمعات الطبية,,,,17 polyclinics in account book one.,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Polyclinics > Bilaur Polyclinic,,Organization,Abdulaziz Alsaloom,,,,UAT,2027-05-31,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Polyclinics > Aqeeq Specialist Polyclinic,مجمع عقيق الطبي التخصصي,Organization,Abdulaziz Alsaloom,Demo Vendor Gamma,23-room specialist polyclinic serving the southern catchment. Testing signed off and a go-live window is being booked.,منشأة بـ 23 غرف تخدم النطاق الجنوبي. اكتمل الاختبار ويجري حجز موعد الإطلاق.,Go-live readiness,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Polyclinics > Salsabeel Polyclinic,مجمع سلسبيل الطبي,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,,,Integrating & Testing,,,planned,testing,,,,planned,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Polyclinics > Jumana Specialist Polyclinic,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,,,Integrating & Testing,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Polyclinics > Lulwah Polyclinic,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Polyclinics > Narjis Specialist Polyclinic,مجمع نرجس الطبي التخصصي,Organization,Abdulaziz Alsaloom,Demo Vendor Gamma,,,UAT,,,planned,testing,,,,planned,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Polyclinics > Anbar Specialist Polyclinic,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,"14-room specialist polyclinic serving the southern catchment. Live since the last release window, with support in hypercare.",,Live,,,live,live,,,,live,,,,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Polyclinics > Samar Specialist Polyclinic,,Organization,Abdulaziz Alsaloom,Demo Vendor Delta,11-room specialist polyclinic serving the northern catchment. Testing is complete on the first two capabilities and continuing on the rest.,,UAT,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Polyclinics > Basma Polyclinic,مجمع بسمة الطبي,Organization,Abdulaziz Alsaloom,Demo Vendor Gamma,,,Paused,,,testing,planned,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Polyclinics > Ghuroob Day Surgery Polyclinic,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,"27-room day surgery polyclinic serving the northern catchment. Ready to go live, waiting on the change freeze to lift.",,Go-live readiness,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Polyclinics > Almas Polyclinic,مجمع ألماس الطبي,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,36-room polyclinic serving the southern catchment. Testing is complete on the first two capabilities and continuing on the rest.,منشأة بـ 36 غرف تخدم النطاق الجنوبي. اختبار القبول جارٍ مع الفريق السريري.,UAT,2026-11-24,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Polyclinics > Hana Specialist Polyclinic,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,,,Kickoff,,,planned,planned,,,,planned,,,,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Polyclinics > Basateen Specialist Polyclinic,,Organization,Abdulaziz Alsaloom,Demo Vendor Beta,,,Integrating & Testing,,,planned,planned,,testing,,testing,,,,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Polyclinics > Buraq Specialist Polyclinic,مجمع براق الطبي التخصصي,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,26-room specialist polyclinic serving the coastal catchment. Interfaces are being built against the sandbox.,منشأة بـ 26 غرف تخدم النطاق الساحلي. يجري بناء الواجهات على البيئة التجريبية.,Integrating & Testing,2027-07-26,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Polyclinics > Athl Polyclinic,مجمع أثل الطبي,Organization,Abdulaziz Alsaloom,Demo Vendor Delta,,,Live,,,live,live,,,,live,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Polyclinics > Wateen Polyclinic,مجمع وتين الطبي,Organization,Abdulaziz Alsaloom,Demo Vendor Epsilon,"17-room polyclinic serving the southern catchment. Contracted, with no integration work scheduled.",منشأة بـ 17 غرف تخدم النطاق الجنوبي. تم التعاقد ولم تُجدول أعمال التكامل.,,,,planned,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Polyclinics > Zaytoon Polyclinic,,Organization,,Demo Vendor Alpha,24-room polyclinic serving the eastern catchment. In production and reporting daily volumes.,,Live,,,live,testing,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Imaging Centres,مراكز الأشعة,,,,12 imaging centres in account book one.,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Imaging Centres > Ghuroob Diagnostic Imaging Centre,,Organization,Abdulaziz Alsaloom,Demo Vendor Gamma,6-modality diagnostic imaging centre serving the southern catchment. In integration testing with the vendor.,,UAT,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Imaging Centres > Marjan Diagnostic Imaging Centre,,Organization,Abdulaziz Alsaloom,Demo Vendor Beta,8-modality diagnostic imaging centre serving the southern catchment. Testing is complete on the first two capabilities and continuing on the rest.,,UAT,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Imaging Centres > Diya Diagnostic Imaging Centre,,Organization,Abdulaziz Alsaloom,Demo Vendor Beta,8-modality diagnostic imaging centre serving the inland catchment. Interfaces are being built against the sandbox.,,Integrating & Testing,,,,,,,,planned,testing,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Imaging Centres > Narjis Diagnostic Imaging Centre,مركز نرجس للتشخيص بالأشعة,Organization,Abdulaziz Alsaloom,,7-modality diagnostic imaging centre serving the coastal catchment. In production and reporting daily volumes.,منشأة بـ 7 أجهزة تصوير تخدم النطاق الساحلي. دخل الإنتاج في نافذة الإصدار الأخيرة.,Live,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Imaging Centres > Rabee Radiology Centre,مركز ربيع للتصوير الطبي,Organization,Abdulaziz Alsaloom,Demo Vendor Beta,3-modality radiology centre serving the eastern catchment. User acceptance testing is running with the clinical team.,منشأة بـ 3 أجهزة تصوير تخدم النطاق الشرقي. اختبار القبول جارٍ مع الفريق السريري.,UAT,,,,,,,,testing,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Imaging Centres > Marj Radiology Centre,مركز مرج للتصوير الطبي,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,"8-modality radiology centre serving the southern catchment. Build under way, held up on the identity feed.",منشأة بـ 8 أجهزة تصوير تخدم النطاق الجنوبي. يجري بناء الواجهات على البيئة التجريبية.,Integrating & Testing,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Imaging Centres > Talaa Diagnostic Imaging Centre,مركز طلعة للتشخيص بالأشعة,Organization,Abdulaziz Alsaloom,Demo Vendor Beta,,,Integrating & Testing,,,,,,,,testing,testing,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Imaging Centres > Layali Radiology Centre,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Imaging Centres > Almas Imaging Centre,مركز ألماس للأشعة,Organization,Abdulaziz Alsaloom,Demo Vendor Gamma,,,Paused,,,,planned,,testing,,planned,planned,testing,testing,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Imaging Centres > Yaqeen Diagnostic Imaging Centre,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,"7-modality diagnostic imaging centre serving the northern catchment. Build under way, held up on the identity feed.",,Integrating & Testing,,,,,,,,,,,,
