path,name_ar,kind,account_manager,vendor,description,description_ar,stage,target_date,target,ADT,Medication Prescribe V1,Medication Prescribe V2,Medication Dispense V1,Medication Dispense V2,Radiology Order,Radiology Report,Lab Order,Lab Results,Clinical Notes
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Bushra Dental Clinic,عيادة بشرى للأسنان,Organization,Aziz,Demo Vendor Delta,11-room dental clinic serving the coastal catchment. Scope not agreed yet; the first scoping session is being arranged.,منشأة بـ 11 غرفةً تخدم النطاق الساحلي. لم يُتفق على النطاق بعد.,,,,planned,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Tibr Family Clinic,,Organization,Aziz,Demo Vendor Epsilon,11-room family clinic serving the northern catchment. On the list for this year; no work has started.,,Not started,,,planned,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Salsabeel Dental Clinic,عيادة سلسبيل للأسنان,Organization,Aziz,Demo Vendor Alpha,"7-room dental clinic serving the northern catchment. Build under way, held up on the identity feed.",منشأة بـ 7 غرفٍ تخدم النطاق الشمالي. يجري بناء الواجهات على البيئة التجريبية.,Integrating,2026-07-01,,planned,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Sana Clinic,,Organization,Aziz,Demo Vendor Alpha,10-room clinic serving the northern catchment. Message mapping is in progress; the first end-to-end call has been made.,,Integrating,,,planned,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Khuzama Clinic,,Organization,Aziz,Demo Vendor Alpha,9-room clinic serving the northern catchment. User acceptance testing is running with the clinical team.,,"Testing/UAT",,,testing,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Rawnaq Clinic,عيادة رونق,Organization,Aziz,Demo Vendor Beta,3-room clinic serving the western catchment. Kickoff done and the technical contacts are named on both sides.,منشأة بـ 3 غرفٍ تخدم النطاق الغربي. اكتمل اجتماع الانطلاق وحُددت جهات الاتصال الفنية.,Kickoff,,,planned,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Talh Diagnostic Laboratory,,Organization,Aziz,Demo Vendor Gamma,6-bench diagnostic laboratory serving the inland catchment. Recorded for completeness while the onboarding order is decided.,,,,,,,,,,,,planned,testing,testing
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Nakheel Diagnostic Laboratory,مختبر نخيل للتشخيص,Organization,Aziz,Demo Vendor Alpha,11-bench diagnostic laboratory serving the western catchment. Scope not agreed yet; the first scoping session is being arranged. Two of the interfaces are shared with the reference laboratory and move together. The clinical team has asked for a second training round before the next capability is switched on.,منشأة بـ 11 منصةَ فحصٍ تخدم النطاق الغربي. تم التعاقد ولم تُجدول أعمال التكامل. خصّص المورد مهندساً واحداً لهذا العمل، وهو ما يحدد وتيرة التنفيذ هنا أكثر من أي عامل آخر. طلب الفريق السريري جولة تدريب ثانية قبل تشغيل الخدمة التالية، وحُجزت لها نافذة في الشهر المقبل.,,,,,,,,,,,planned,planned,
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Areej Laboratory,مختبر أريج,Organization,Aziz,Demo Vendor Gamma,24-bench laboratory serving the coastal catchment. Message mapping is in progress; the first end-to-end call has been made.,منشأة بـ 24 منصةَ فحصٍ تخدم النطاق الساحلي. ربط الرسائل قيد التنفيذ.,Integrating,,,planned,testing,,,,,,planned,planned,planned
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Hana Laboratory,مختبر هناء,Organization,Aziz,Demo Vendor Alpha,"23-bench laboratory serving the southern catchment. Contracted, with no integration work scheduled.",منشأة بـ 23 منصةَ فحصٍ تخدم النطاق الجنوبي. تم التعاقد ولم تُجدول أعمال التكامل.,,,,,planned,,planned,,,,planned,planned,
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Sanam Specialist Polyclinic,مجمع سنام الطبي التخصصي,Organization,Aziz,Demo Vendor Alpha,"8-room specialist polyclinic serving the coastal catchment. Ready to go live, waiting on the change freeze to lift. Two of the interfaces are shared with the reference laboratory and move together. The vendor has one engineer allocated, which is what sets the pace here.",منشأة بـ 8 غرفٍ تخدم النطاق الساحلي. جاهز للإطلاق بانتظار رفع تجميد التغييرات. اثنتان من الواجهات مشتركة مع المختبر المرجعي وتتحركان معاً في كل إصدار. طلب الفريق السريري جولة تدريب ثانية قبل تشغيل الخدمة التالية، وحُجزت لها نافذة في الشهر المقبل.,Go-live ready,,,testing,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Nawras Polyclinic,,Organization,Aziz,Demo Vendor Alpha,,,,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Anwa Polyclinic,مجمع أنواء الطبي,Organization,Aziz,Demo Vendor Beta,,,Integrating,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Bareq Specialist Polyclinic,,Organization,Aziz,Demo Vendor Alpha,,,,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Rimal Radiology Centre,مركز رمال للتصوير الطبي,Organization,Aziz,,"5-modality radiology centre serving the eastern catchment. Build under way, held up on the identity feed.",منشأة بـ 5 أجهزةِ تصويرٍ تخدم النطاق الشرقي. ربط الرسائل قيد التنفيذ.,Integrating,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Zumurrud Imaging Centre,مركز زمرد للأشعة,Organization,Aziz,,,,,,,,,,,,planned,testing,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Yasmeen Radiology Centre,مركز ياسمين للتصوير الطبي,Organization,Aziz,,4-modality radiology centre serving the coastal catchment. Interfaces are being built against the sandbox.,منشأة بـ 4 أجهزةِ تصويرٍ تخدم النطاق الساحلي. يجري بناء الواجهات على البيئة التجريبية.,Integrating,2026-08-05,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Wateen Hospital Pharmacy,صيدلية وتين للمستشفيات,Organization,Aziz,Demo Vendor Gamma,,,Paused,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Duha Pharmacy,صيدلية ضحى,Organization,Aziz,Demo Vendor Alpha,"9-counter pharmacy serving the eastern catchment. Kickoff held with the vendor; the interface catalogue is being confirmed. The vendor has one engineer allocated, which is what sets the pace here. Two of the interfaces are shared with the reference laboratory and move together.",منشأة بـ 9 نوافذِ صرفٍ تخدم النطاق الشرقي. عُقد اجتماع الانطلاق مع المورد. طلب الفريق السريري جولة تدريب ثانية قبل تشغيل الخدمة التالية، وحُجزت لها نافذة في الشهر المقبل. خصّص المورد مهندساً واحداً لهذا العمل، وهو ما يحدد وتيرة التنفيذ هنا أكثر من أي عامل آخر.,Kickoff,,,,planned,,planned,planned,planned,planned,,,planned
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two,محفظة الحسابات الثانية,,Nasser Alabri,,"22 organizations, managed end to end by one account manager.",22 منشأة يديرها مدير حساب واحد.,,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Hospitals,المستشفيات,,,,9 hospitals in account book two.,,,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Hospitals > Thurayya Community Hospital,,Organization,Nasser Alabri,Demo Vendor Alpha,,,,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Hospitals > Jumana Community Hospital,مستشفى جمانة المجتمعي,Organization,Nasser Alabri,Demo Vendor Beta,,,,,,planned,planned,planned,,planned,planned,,planned,planned,testing
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Hospitals > Ghaim Community Hospital,,Organization,Nasser Alabri,Demo Vendor Beta,44-bed community hospital serving the inland catchment. In production and reporting daily volumes.,,Live,,,live,live,live,live,live,live,live,live,live,live
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Hospitals > Zuhal General Hospital,,Organization,Nasser Alabri,Demo Vendor Gamma,320-bed general hospital serving the northern catchment. User acceptance testing is running with the clinical team.,,"Testing/UAT",,,planned,,,,,,,testing,,planned
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Hospitals > Arak Maternity Hospital,مستشفى أراك للولادة,Organization,Nasser Alabri,Demo Vendor Beta,,,Integrating,,,testing,,,,,,,planned,testing,planned
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Hospitals > Najma Specialist Hospital,,Organization,,Demo Vendor Delta,,,Integrating,2027-03-30,,planned,,,,,,,,,planned
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Hospitals > Diya General Hospital,,Organization,,Demo Vendor Zeta,"653-bed general hospital serving the northern catchment. Contracted, with no integration work scheduled.",,,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Hospitals > Naqaa Maternity Hospital,مستشفى نقاء للولادة,Organization,,Demo Vendor Delta,,,Kickoff,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Hospitals > Almas Specialist Hospital,مستشفى ألماس التخصصي,Organization,Nasser Alabri,Demo Vendor Alpha,710-bed specialist hospital serving the coastal catchment. Message mapping is in progress; the first end-to-end call has been made.,منشأة بسعة 710 سريراً تخدم النطاق الساحلي. يجري بناء الواجهات على البيئة التجريبية.,Integrating,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Clinics,العيادات,,,,7 clinics in account book two.,,,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Clinics > Ward Dental Clinic,,Organization,Nasser Alabri,Demo Vendor Epsilon,9-room dental clinic serving the western catchment. Testing is complete on the first two capabilities and continuing on the rest.,,"Testing/UAT",,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Clinics > Marjan Dental Clinic,,Organization,Nasser Alabri,Demo Vendor Beta,,,Paused,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Clinics > Zahwa Dental Clinic,,Organization,Nasser Alabri,Demo Vendor Gamma,,,,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Clinics > Sidr Clinic,,Organization,Nasser Alabri,Demo Vendor Delta,,,Live,,,live,live,live,live,live,live,live,live,live,live
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Clinics > Dorra Dental Clinic,,Organization,Nasser Alabri,Demo Vendor Epsilon,4-room dental clinic serving the southern catchment. Testing signed off and a go-live window is being booked.,,Go-live ready,2026-09-25,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Clinics > Nasim Dental Clinic,عيادة نسيم للأسنان,Organization,Nasser Alabri,Demo Vendor Alpha,"14-room dental clinic serving the coastal catchment. Contracted, with no integration work scheduled.",منشأة بـ 14 غرفةً تخدم النطاق الساحلي. تم التعاقد ولم تُجدول أعمال التكامل.,,,,planned,planned,,,,,,,,planned
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Clinics > Wameed Clinic,عيادة وميض,Organization,Nasser Alabri,Demo Vendor Beta,"13-room clinic serving the western catchment. Build under way, held up on the identity feed.",منشأة بـ 13 غرفةً تخدم النطاق الغربي. ربط الرسائل قيد التنفيذ.,Integrating,,,planned,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Laboratories,المختبرات,,,,6 laboratories in account book two.,,,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Laboratories > Bilaur Diagnostic Laboratory,مختبر بلور للتشخيص,Organization,Nasser Alabri,,,,,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Laboratories > Ghuroob Reference Laboratory,,Organization,,Demo Vendor Alpha,28-bench reference laboratory serving the eastern catchment. In integration testing with the vendor.,,"Testing/UAT",,,testing,,,,,,testing,planned,testing,
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Laboratories > Zaytoon Diagnostic Laboratory,مختبر زيتون للتشخيص,Organization,,Demo Vendor Alpha,"25-bench diagnostic laboratory serving the coastal catchment. Build under way, held up on the identity feed.",منشأة بـ 25 منصةَ فحصٍ تخدم النطاق الساحلي. ربط الرسائل قيد التنفيذ.,Integrating,,,,,,,,,,testing,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Laboratories > Lulwah Laboratory,,Organization,,Demo Vendor Gamma,,,Integrating,,,,,,,,,,planned,planned,
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Laboratories > Layali Laboratory,,Organization,Nasser Alabri,Demo Vendor Alpha,,,Not started,,,,,,,,,,planned,planned,
UHR > Demo Slice > Associate Directorate Alpha > Account Book Two > Laboratories > Salwa Laboratory,,Organization,Nasser Alabri,Demo Vendor Gamma,7-bench laboratory serving the coastal catchment. Kickoff done and the technical contacts are named on both sides.,,Kickoff,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta,الإدارة المساعدة بيتا,Programme,,,"The second directorate: two account books and 24 organizations, opened this year.",الإدارة الثانية: محفظتا حسابات و24 منشأة، فُتحتا هذا العام.,,2027-04-29,12,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Three,محفظة الحسابات الثالثة,,,,14 organizations with no account manager assigned yet.,14 منشأة لم يُعيَّن لها مدير حساب بعد.,,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Three > Polyclinics,المجمعات الطبية,,,,8 polyclinics in account book three.,,,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Three > Polyclinics > Ghaf Day Surgery Polyclinic,,Organization,,,,,,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Three > Polyclinics > Utarid Polyclinic,,Organization,,Demo Vendor Delta,,,Kickoff,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Three > Polyclinics > Talaa Polyclinic,مجمع طلعة الطبي,Organization,,Demo Vendor Beta,,,Not started,,,planned,planned,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Three > Polyclinics > Kafoor Day Surgery Polyclinic,مجمع كافور لجراحة اليوم الواحد,Organization,,Demo Vendor Gamma,,,Integrating,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Three > Polyclinics > Reeman Day Surgery Polyclinic,مجمع ريمان لجراحة اليوم الواحد,Organization,,Demo Vendor Epsilon,,,,,,planned,planned,testing,,planned,planned,testing,,,planned
UHR > Demo Slice > Associate Directorate Beta > Account Book Three > Polyclinics > Safaa Specialist Polyclinic,مجمع صفاء الطبي التخصصي,Organization,,Demo Vendor Beta,"34-room specialist polyclinic serving the inland catchment. Testing is complete on the first two capabilities and continuing on the rest. The vendor has one engineer allocated, which is what sets the pace here. The clinical team has asked for a second training round before the next capability is switched on.",منشأة بـ 34 غرفةً تخدم النطاق الداخلي. اختبار القبول جارٍ مع الفريق السريري. طلب الفريق السريري جولة تدريب ثانية قبل تشغيل الخدمة التالية، وحُجزت لها نافذة في الشهر المقبل. خصّص المورد مهندساً واحداً لهذا العمل، وهو ما يحدد وتيرة التنفيذ هنا أكثر من أي عامل آخر.,"Testing/UAT",2026-12-06,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Three > Polyclinics > Aseel Polyclinic,,Organization,,Demo Vendor Beta,8-room polyclinic serving the eastern catchment. Recorded for completeness while the onboarding order is decided.,,,,,planned,,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Three > Polyclinics > Shurooq Day Surgery Polyclinic,مجمع شروق لجراحة اليوم الواحد,Organization,,Demo Vendor Delta,,,Go-live ready,2027-01-22,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Three > Pharmacies > Nasaem Pharmacy,صيدلية نسائم,Organization,,Demo Vendor Alpha,"8-counter pharmacy serving the inland catchment. Live since the last release window, with support in hypercare.",منشأة بـ 8 نوافذِ صرفٍ تخدم النطاق الداخلي. في الإنتاج ويرسل الأحجام اليومية.,Live,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Three > Pharmacies > Misk Hospital Pharmacy,صيدلية مسك للمستشفيات,Organization,,Demo Vendor Alpha,12-counter hospital pharmacy serving the western catchment. Interfaces are being built against the sandbox.,منشأة بـ 12 نافذةَ صرفٍ تخدم النطاق الغربي. ربط الرسائل قيد التنفيذ.,Integrating,,,,testing,,testing,planned,,planned,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Three > Pharmacies > Aqeeq Community Pharmacy,,Organization,,Demo Vendor Zeta,9-counter community pharmacy serving the northern catchment. Paused while the vendor contract is renegotiated.,,Paused,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Three > Pharmacies > Kanan Hospital Pharmacy,صيدلية كنان للمستشفيات,Organization,,,,,,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Three > Pharmacies > Lamha Community Pharmacy,صيدلية لمحة المجتمعية,Organization,,Demo Vendor Alpha,"9-counter community pharmacy serving the coastal catchment. Build under way, held up on the identity feed.",منشأة بـ 9 نوافذِ صرفٍ تخدم النطاق الساحلي. يجري بناء الواجهات على البيئة التجريبية.,Integrating,2026-10-26,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Three > Pharmacies > Sadaf Community Pharmacy,,Organization,,Demo Vendor Gamma,9-counter community pharmacy serving the northern catchment. Scope not agreed yet; the first scoping session is being arranged.,,,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Four,محفظة الحسابات الرابعة,,Aziz,,"10 organizations, managed end to end by one account manager.",10 منشأة يديرها مدير حساب واحد.,,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Four > Lujain Maternity Hospital,مستشفى لجين للولادة,Organization,Aziz,Demo Vendor Zeta,"692-bed maternity hospital serving the eastern catchment. Contracted, with no integration work scheduled.",منشأة بسعة 692 سريراً تخدم النطاق الشرقي. لم يُتفق على النطاق بعد.,,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Four > Marj General Hospital,مستشفى مرج العام,Organization,,,100-bed general hospital serving the coastal catchment. Message mapping is in progress; the first end-to-end call has been made.,منشأة بسعة 100 سريرٍ تخدم النطاق الساحلي. ربط الرسائل قيد التنفيذ.,Integrating,,,planned,,,planned,,,,planned,testing,planned
UHR > Demo Slice > Associate Directorate Beta > Account Book Four > Kharif Family Clinic,,Organization,Aziz,Demo Vendor Epsilon,"8-room family clinic serving the western catchment. Build under way, held up on the identity feed. Two of the interfaces are shared with the reference laboratory and move together. The vendor has one engineer allocated, which is what sets the pace here.",,Integrating,,,testing,testing,,,,,testing,,planned,testing
UHR > Demo Slice > Associate Directorate Beta > Account Book Four > Samaa Dental Clinic,عيادة سماء للأسنان,Organization,Aziz,,,,Kickoff,,,planned,planned,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Four > Ghadeer Family Clinic,عيادة غدير للأسرة,Organization,,,,,"Testing/UAT",,,planned,,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Four > Bahar Laboratory,مختبر بهار,Organization,Aziz,Demo Vendor Gamma,25-bench laboratory serving the western catchment. Scope not agreed yet; the first scoping session is being arranged.,منشأة بـ 25 منصةَ فحصٍ تخدم النطاق الغربي. لم يُتفق على النطاق بعد.,,,,,,,,,,,planned,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Four > Basateen Specialist Polyclinic,مجمع بساتين الطبي التخصصي,Organization,Aziz,Demo Vendor Gamma,"37-room specialist polyclinic serving the coastal catchment. Contracted, with no integration work scheduled. The vendor has one engineer allocated, which is what sets the pace here. Volumes are seasonal and the go-live window avoids the peak.",منشأة بـ 37 غرفةً تخدم النطاق الساحلي. لم يُتفق على النطاق بعد. طلب الفريق السريري جولة تدريب ثانية قبل تشغيل الخدمة التالية، وحُجزت لها نافذة في الشهر المقبل. يُتوقع أن يتبع موقع ثانٍ تابع للمشغّل نفسه بناءَ الواجهات ذاته دون تغيير في النطاق المتفق عليه.,,,,testing,testing,,,,planned,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Four > Ufuq Radiology Centre,,Organization,,Demo Vendor Beta,,,Live,,,live,live,live,live,live,live,live,live,live,live
UHR > Demo Slice > Associate Directorate Beta > Account Book Four > Sahl Imaging Centre,,Organization,Aziz,Demo Vendor Alpha,9-modality imaging centre serving the inland catchment. Onboarding agreed and nothing has begun.,,Not started,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Beta > Account Book Four > Rabee Pharmacy,صيدلية ربيع,Organization,,Demo Vendor Delta,"4-counter pharmacy serving the inland catchment. Ready to go live, waiting on the change freeze to lift.",منشأة بـ 4 نوافذِ صرفٍ تخدم النطاق الداخلي. اكتمل الاختبار ويجري حجز موعد الإطلاق.,Go-live ready,2026-08-19,,,,,,,,,,,
