path,name_ar,kind,account_manager,vendor,description,description_ar,stage,target_date,target,ADT,Medication Prescribe V1,Medication Prescribe V2,Medication Dispense V1,Medication Dispense V2,Radiology Order,Radiology Report,Lab Order,Lab Results,Clinical Notes,XDRADO,XDLABO,XDDOCS,Vital Signs,Encounter History
UHR (Unified Health Record) > IT Integration > Arrawdah Hospital,,Organization,Sara Alsaab,,,,Integrating & Testing,,,live,planned,,planned,,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > IT Delivery > Aseer,,Organization,,,,,Live,,,live,live,,live,,live,live,live,live,live,,,,,
UHR (Unified Health Record) > Business Operations > Aseer (Care Ware) Cluster,,Organization,,,,,Integrating & Testing,,,testing,testing,,testing,,testing,testing,testing,testing,,,,,,
UHR (Unified Health Record) > Business Operations > Aseer (Vida Plus),,Organization,Khalid Almutairi,,,,Live,,,,,,live,,,,,,,,,,,
UHR (Unified Health Record) > Business Operations > Aseer (Vida Plus) Cluster,,Organization,Khalid Almutairi,,,,Kickoff,,,,,,,,,,,,planned,,,,,
UHR (Unified Health Record) > IT Integration > Aseer Care ware,,Organization,Shatha Alhuwaytan,,,,Integrating & Testing,,,,,,,,,,,,testing,,,,,
UHR (Unified Health Record) > Business Operations > Aseer Cluster,,Organization,Khalid Almutairi,,,,Live,,,,,,,,,,,,live,,,,,
UHR (Unified Health Record) > Onboarding > Aster sanad Hospital,,Organization,Dema Alkassim,,,,Kickoff,,,,,planned,,planned,planned,planned,planned,planned,planned,,,,planned,
UHR (Unified Health Record) > Business Operations > AUTISM SPECTRUM VIRTTUAL CARE CLINIC,,Organization,Khalid Almutairi,,,,Integrating & Testing,,,,,,,,,,,,testing,,,,,
UHR (Unified Health Record) > Onboarding > Autism Spectrum virtual care Hospital,,Organization,Dema Alkassim,,,,Live,,,,,,,,,,,,live,,,,,
UHR (Unified Health Record) > Business Operations > Aya Hospital,,Organization,,,,,Integrating & Testing,,,testing,,,,,live,testing,testing,testing,,,,,,testing
UHR (Unified Health Record) > IT Delivery > Clinicy,,Organization,Aseel Altheeb,,,,Kickoff,,,planned,,,,,,,,,,,,,,
UHR (Unified Health Record) > Onboarding > CMRC,,Organization,Dema Alkassim,,,,Integrating & Testing,,,live,planned,,planned,,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > Product > Dallah,,Organization,Hind Almubaraki,,,,Integrating & Testing,,,,live,,live,,live,live,live,,testing,,live,,,
UHR (Unified Health Record) > Business Operations > Dallah alahsa,,Organization,Khalid Alghamdi,,,,Live,,,live,,live,,live,live,live,live,live,live,,,,,
UHR (Unified Health Record) > Product > Dar Al Afia Hospital,,Organization,Hind Almubaraki,,,,Kickoff,,,planned,planned,,planned,,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > IT Integration > Dar Alsalama,,Organization,Sara Alsaab,,,,Integrating & Testing,,,live,planned,,planned,,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > Business Operations > Delta,,Organization,Riam Alnasser,,,,Live,,,,,,,,,,,live,,,,,,
UHR (Unified Health Record) > AMS > Dr Hassan Ghazzawi Hospital,,Organization,Hussain Alharthi,,,,Kickoff,,,planned,,,,,,,,,,,,,,
UHR (Unified Health Record) > Onboarding > Dr. Abdulrahman Bakhsh Hospital,,Organization,,,,,Integrating & Testing,,,testing,live,,planned,,live,planned,live,live,planned,,,,,
UHR (Unified Health Record) > Onboarding > Dr. Arfan hospital,,Organization,Dema Alkassim,,,,Integrating & Testing,,,live,planned,,planned,,planned,planned,,,planned,,planned,,,
UHR (Unified Health Record) > Onboarding > Dr. Erfan & Bagedo General Hospital,,Organization,Dema Alkassim,,,,Integrating & Testing,,,live,,,,,,,testing,testing,,,,,,
UHR (Unified Health Record) > IT Integration > Dr. Ghassan Najeeb Hospital,,Organization,,,,,Live,,,,,,,,,,,,,,,,,live
UHR (Unified Health Record) > Onboarding > Dr. noor khan Hospital,,Organization,Dema Alkassim,,,,Integrating & Testing,,,,,,,,,,testing,,,,,,,
UHR (Unified Health Record) > Business Operations > Dr. Noor Mohammed Khan General Hospital,,Organization,,,,,Integrating & Testing,,,live,,,,testing,testing,testing,live,testing,testing,,,,,
UHR (Unified Health Record) > IT Delivery > Dr.Suliman Fakeeh Hospital,,Organization,Shatha Alhuwaytan,,,,Live,,,,,,,,,,,,,,,,live,
UHR (Unified Health Record) > Onboarding > EHC,,Organization,Shatha Alhuwaytan,,,,Integrating & Testing,,,,,,live,,,,,,planned,,,,,
UHR (Unified Health Record) > Onboarding > Elite Hospital,,Organization,,,,,Integrating & Testing,,,live,,testing,,testing,,,planned,planned,,,,,,
UHR (Unified Health Record) > Product > Fakeeh,,Organization,,,,,Integrating & Testing,,,live,live,,live,,live,live,planned,live,planned,,,,,
UHR (Unified Health Record) > IT Integration > GAMA Hospital,,Organization,,,,,Integrating & Testing,,,,planned,,planned,,planned,planned,testing,live,planned,,,,,testing
UHR (Unified Health Record) > Onboarding > Ghassan Njeeb Hospital,,Organization,Dema Alkassim,,,,Kickoff,,,,,planned,,planned,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > Onboarding > GNB hospital,,Organization,Dema Alkassim,,,,Kickoff,,,planned,,,,,,,,,,,,,,
UHR (Unified Health Record) > Onboarding > GNP,,Organization,Dema Alkassim,,,,Kickoff,,,,planned,,,,,,,,,,,,,
UHR (Unified Health Record) > IT Delivery > Hafer AlBatin,,Organization,Riam Alnasser,,,,Live,,,live,,live,,live,live,live,live,live,live,,,,,
UHR (Unified Health Record) > IT Delivery > Hail Cluster,,Organization,Shatha Alhuwaytan,,,,Integrating & Testing,,,,,,testing,,,,,,,,,,,
UHR (Unified Health Record) > Onboarding > Hail Cluster 2,,Organization,Dema Alkassim,,,,Integrating & Testing,,,testing,,,,,,,,,,,,,,
UHR (Unified Health Record) > Onboarding > Hail MCC,,Organization,,,,,Integrating & Testing,,,,,live,,live,live,live,live,live,testing,,,,,
UHR (Unified Health Record) > Onboarding > Hamid Alahmdi Hospital,,Organization,Dema Alkassim,,,,Integrating & Testing,,,,,,,,testing,testing,testing,testing,,,,,,
UHR (Unified Health Record) > Business Operations > HMC Hospital,,Organization,Khalid Alghamdi,,,,Integrating & Testing,,,,testing,,live,,,,,,,,,,,
UHR (Unified Health Record) > Business Operations > Imam Abdulrahman bin Faisal University (IAU),,Organization,Khalid Almutairi,,,,Live,,,,,,,,live,,,,,,,,,
UHR (Unified Health Record) > Onboarding > Jazan,,Organization,Riam Alnasser,,,,Live,,,,,,,,,,,,,live,live,live,,
UHR (Unified Health Record) > IT Integration > Jazan 1,,Organization,Riam Alnasser,,,,Live,,,,,,,,,,,,,live,live,,,
UHR (Unified Health Record) > Business Operations > Jazan Cluster (MCC),,Organization,Riam Alnasser,,,,Live,,,live,,,,,,,,,,,,,,
UHR (Unified Health Record) > Onboarding > Jazan cluster (MedicaCloud),,Organization,Dema Alkassim,,,,Live,,,live,,,,,live,live,live,live,,,,,,
UHR (Unified Health Record) > Onboarding > Jazan MCC,,Organization,Dema Alkassim,,,,Integrating & Testing,,,,testing,,live,,testing,testing,live,testing,live,,,,,
UHR (Unified Health Record) > IT Integration > Jazan University Hospital,,Organization,,,,,Integrating & Testing,,,,planned,,planned,,planned,planned,live,testing,planned,,,,,
UHR (Unified Health Record) > IT Delivery > Jedda Oasis,,Organization,Riam Alnasser,,,,Live,,,,,,,,,,live,,,,,,,
UHR (Unified Health Record) > Onboarding > Jeddah Oasis,,Organization,,,,,Integrating & Testing,,,,testing,,planned,,live,,,,,live,live,live,,
UHR (Unified Health Record) > Onboarding > KFMC,,Organization,Riam Alnasser,,,,Live,,,,live,,live,,,,,,,live,live,live,,
UHR (Unified Health Record) > IT Delivery > KFSHB (Qassim),,Organization,,,,,Live,,,live,,,,,,,,,,live,live,live,,
UHR (Unified Health Record) > Onboarding > KFSHRC,,Organization,,,,,Integrating & Testing,,,testing,planned,,testing,,,,,,,,,,,
UHR (Unified Health Record) > Onboarding > Khafgi Hospital,,Organization,Dema Alkassim,,,,Integrating & Testing,,,testing,planned,,planned,,,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > Onboarding > King Abdulaziz University,,Organization,,,,,Integrating & Testing,,,testing,testing,,testing,,testing,planned,planned,planned,live,,,,,
UHR (Unified Health Record) > IT Integration > King Abdullah Medical City,,Organization,Sara Alsaab,,,,Kickoff,,,,planned,,planned,,,,planned,planned,planned,,,,,
UHR (Unified Health Record) > Business Operations > King Abdullah Medical City- Makkah,,Organization,Khalid Almutairi,,,,Integrating & Testing,,,,,,,,testing,testing,,,,,,,,
UHR (Unified Health Record) > IT Integration > King Abdullah Medical Complex (northern Jeddah),,Organization,Sara Alsaab,,,,Integrating & Testing,,,,planned,,planned,,,testing,planned,planned,,,,,,
UHR (Unified Health Record) > IT Integration > King Abdullah University Hospital,,Organization,Sara Alsaab,,,,Integrating & Testing,,,live,planned,,planned,,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > IT Integration > King Faisal Specialist Hospital and Research Centre (KFSHRC),,Organization,Sara Alsaab,,,,Kickoff,,,,,,,,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > Business Operations > King Khalid uni,,Organization,Khalid Almutairi,,,,Kickoff,,,,,,,,,,,,planned,,,,,
UHR (Unified Health Record) > Business Operations > King Khalid University,,Organization,,,,,Integrating & Testing,,,,testing,,testing,,testing,,live,,live,,,,,
UHR (Unified Health Record) > Onboarding > King Khalid University (Aseer),,Organization,Hind Almubaraki,,,,Integrating & Testing,,,,,,,,,,,live,,,,,,planned
UHR (Unified Health Record) > IT Integration > Kingdom Hospital,,Organization,Sara Alsaab,,,,Integrating & Testing,,,testing,planned,,planned,,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > IT Integration > Kings collage Hospital,,Organization,Sara Alsaab,,,,Kickoff,,,planned,,,,,,,,,,,,,,
UHR (Unified Health Record) > Onboarding > KKESH,,Organization,,,,,Integrating & Testing,,,live,live,,live,,live,live,testing,testing,live,,,,,
UHR (Unified Health Record) > IT Integration > KSMC alshimaysi,,Organization,Riam Alnasser,,,,Live,,,,,,,,,,,,,live,live,live,,
UHR (Unified Health Record) > Business Operations > Madeeda Hospital,,Organization,,,,,Integrating & Testing,,,testing,testing,,testing,,testing,testing,testing,testing,testing,,,,,
UHR (Unified Health Record) > Onboarding > Madina cluster,,Organization,,,,,Live,,,,live,,live,,,,,,,,,,,
UHR (Unified Health Record) > Onboarding > Magrabi Health Hospital,,Organization,Dema Alkassim,,,,Integrating & Testing,,,,,,,,,,,,testing,,,,,
UHR (Unified Health Record) > Onboarding > Magrabi Hospital,,Organization,Dema Alkassim,,,,Live,,,,,,,,,,,,,,,,live,
UHR (Unified Health Record) > Onboarding > Magrabi Hospital and Centers,,Organization,Dema Alkassim,,,,Integrating & Testing,,,,,planned,,planned,,,planned,planned,,,,,,testing
UHR (Unified Health Record) > Product > Makkah (Intersystem),,Organization,Hind Almubaraki,,,,Live,,,live,,,,,,,,,,,,,,
UHR (Unified Health Record) > Product > Makkah 1 (Careware),,Organization,,,,,Live,,,,live,,live,,,,,,,live,live,live,,
UHR (Unified Health Record) > Onboarding > Makkah 2 (MCC),,Organization,,,,,Integrating & Testing,,,,live,,live,,,,,,,testing,live,live,,
UHR (Unified Health Record) > Business Operations > Makkah Cluster 2 (MCC),,Organization,Khalid Almutairi,,,,Kickoff,,,,,,,,planned,,,,,,,,,
UHR (Unified Health Record) > Onboarding > MMS,,Organization,,,,,Kickoff,,,,,,,,,,,planned,,,,,,
UHR (Unified Health Record) > Onboarding > MoDHS,,Organization,Abdulaziz Alsaloom,,,,Live,,,live,live,,live,,,,,,,,,,,
UHR (Unified Health Record) > Onboarding > Mohammed Aldossary,,Organization,Shatha Alhuwaytan,,,,Integrating & Testing,,,testing,testing,,testing,,planned,testing,testing,testing,testing,,,,,
UHR (Unified Health Record) > IT Integration > Mohammed Fakeeh,,Organization,Sara Alsaab,,,,Integrating & Testing,,,testing,planned,,planned,,planned,planned,testing,planned,planned,,,,,
UHR (Unified Health Record) > Business Operations > My Clinic,,Organization,Khalid Alghamdi,,,,Integrating & Testing,,,testing,,,,,,,,,,,,,,
UHR (Unified Health Record) > Onboarding > My Clinica,,Organization,Dema Alkassim,,,,Kickoff,,,,planned,,planned,,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > IT Delivery > Najran,,Organization,Riam Alnasser,,,,Live,,,,,,,,,,,,,live,live,,,
UHR (Unified Health Record) > Onboarding > Najran (Vida plus),,Organization,Dema Alkassim,,,,Live,,,,,,,,,,,,,,,,,live
UHR (Unified Health Record) > Onboarding > Najran Cluster,,Organization,Riam Alnasser,,,,Live,,,,,,,,,live,,live,live,,,,,
UHR (Unified Health Record) > Onboarding > Najran specialized hospital,,Organization,Dema Alkassim,,,,Integrating & Testing,,,,,,,,,,,,,,,,,testing
UHR (Unified Health Record) > Business Operations > Najran specialized hospital(FHIR),,Organization,Riam Alnasser,,,,Integrating & Testing,,,,,,,,testing,testing,testing,testing,,,,,,
UHR (Unified Health Record) > Product > NMC,,Organization,Hind Almubaraki,,,,Live,,,,,,,,live,,live,,,live,live,live,,
UHR (Unified Health Record) > IT Delivery > North Borders,,Organization,,,,,Live,,,,live,,live,,live,,live,,,live,live,live,,
UHR (Unified Health Record) > IT Integration > Obeid Hospital,,Organization,,,,,Integrating & Testing,,,testing,,planned,,planned,planned,planned,planned,planned,,,,,,
UHR (Unified Health Record) > IT Integration > Olaya Medical Complex,,Organization,,,,,Integrating & Testing,,,live,planned,live,testing,,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > IT Integration > Prince Fahad bin Sultan,,Organization,Sara Alsaab,,,,Integrating & Testing,,,live,planned,,planned,,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > Product > Procare Riyadh Hospital,,Organization,Hind Almubaraki,,,,Kickoff,,,planned,planned,,planned,,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > Business Operations > Qassim (KFSHB),,Organization,,,,,Integrating & Testing,,,,live,,live,,,,,,testing,,,,,
UHR (Unified Health Record) > IT Integration > Qassim cluster Vida 4,,Organization,,,,,Live,,,live,,,,,,,,,,,,,,
UHR (Unified Health Record) > Onboarding > Qassim National Hospital,,Organization,Dema Alkassim,,,,Integrating & Testing,,,testing,,testing,,testing,testing,testing,testing,testing,planned,,,,,
UHR (Unified Health Record) > Onboarding > Qassim University Hospital,,Organization,,,,,Integrating & Testing,,,live,,live,,live,testing,live,testing,testing,testing,,,,,
UHR (Unified Health Record) > IT Delivery > Rabet,,Organization,Abdulaziz Alsaloom,,,,Live,,,live,live,,live,,live,,live,live,live,,,,,
UHR (Unified Health Record) > Business Operations > Rabia Hospital,,Organization,,,,,Integrating & Testing,,,live,planned,,,,,testing,planned,testing,,,,,,
UHR (Unified Health Record) > IT Delivery > Raqeem,,Organization,,,,,Live,,,,,,,,,,,,,,,,live,
UHR (Unified Health Record) > Onboarding > Raqeem Private,,Organization,,,,,Integrating & Testing,,,,live,,live,,testing,live,testing,live,testing,,,,,
UHR (Unified Health Record) > Onboarding > Raqeem Private Tuwaiq,,Organization,Dema Alkassim,,,,Integrating & Testing,,,,,testing,,testing,,,,,,,,,,
UHR (Unified Health Record) > Onboarding > RCH,,Organization,Riam Alnasser,,,,Live,,,,live,,live,,,,,,,live,live,,,
UHR (Unified Health Record) > IT Integration > Riyadh 3rd Cluster,,Organization,Sara Alsaab,,,,Kickoff,,,planned,,planned,,,planned,planned,planned,planned,,,,,,
UHR (Unified Health Record) > IT Integration > Riyadh Hospital,,Organization,Riam Alnasser,,,,Integrating & Testing,,,live,,,,,,,planned,,,,,,,
UHR (Unified Health Record) > IT Integration > Salamat,,Organization,Sara Alsaab,,,,Kickoff,,,,planned,,,,,,,,,,,,,
UHR (Unified Health Record) > Onboarding > Samer Abbas Hospital,,Organization,,,,,Kickoff,,,,,,,,,,,,,,,,planned,
UHR (Unified Health Record) > Onboarding > Samir Abbas Hospital,,Organization,Dema Alkassim,,,,Integrating & Testing,,,,,,,,,,,,,,,,,testing
UHR (Unified Health Record) > Onboarding > SBAHC,,Organization,,,,,Integrating & Testing,,,live,live,,live,,testing,testing,live,testing,testing,,,,,
UHR (Unified Health Record) > Onboarding > SFH,,Organization,,,,,Integrating & Testing,,,live,live,live,live,,live,,live,live,testing,,,,,
UHR (Unified Health Record) > Onboarding > SFH (Security Force Hospital),,Organization,Ahmed Alkanhal,,,,Live,,,,,,,,,,,,,live,,,,
UHR (Unified Health Record) > Onboarding > SGH,,Organization,,,,,Integrating & Testing,,,planned,live,planned,live,planned,,planned,planned,planned,,live,live,,,
UHR (Unified Health Record) > IT Integration > Shefa Specialized Hopital,,Organization,Sara Alsaab,,,,Integrating & Testing,,,,planned,,planned,,planned,planned,testing,testing,planned,,,,,testing
UHR (Unified Health Record) > Product > SMC,,Organization,,,,,Live,,,,live,,live,,,live,live,,live,live,live,,,
UHR (Unified Health Record) > Business Operations > Suliman Fakeeh Hospital,,Organization,Riam Alnasser,,,,Integrating & Testing,,,,,,,,testing,testing,testing,testing,,,,,planned,
UHR (Unified Health Record) > IT Delivery > Tabuk,,Organization,Riam Alnasser,,,,Integrating & Testing,,,,,,testing,,,,,,,live,live,live,,
UHR (Unified Health Record) > Onboarding > Tadawi,,Organization,Dema Alkassim,,,,Integrating & Testing,,,testing,planned,,planned,,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > Onboarding > Taif Cluster,,Organization,,,,,Integrating & Testing,,,live,planned,,testing,,,,,,,testing,testing,planned,,
UHR (Unified Health Record) > Product > Taif University Hospital,,Organization,Nawaf Alfaqih,,,,Integrating & Testing,,,testing,,,,,,,,,,,,,,
UHR (Unified Health Record) > IT Integration > United Doctors Hospital,,Organization,Sara Alsaab,,,,Kickoff,,,,planned,,planned,,planned,,planned,planned,planned,,,,,
UHR (Unified Health Record) > IT Integration > Yanbu National Hospital,,Organization,Sara Alsaab,,,,Integrating & Testing,,,testing,,planned,,planned,planned,planned,planned,planned,planned,,,,,
